ID,RegioS,Code_1,Naam_2,SorteringNaam_3,Code_4,Naam_5,Code_6,Naam_7,Code_8,Naam_9,Code_10,Naam_11,Code_12,Naam_13,Code_14,Naam_15,Code_16,Naam_17,Code_18,Naam_19,Code_20,Naam_21,Code_22,Naam_23,Code_24,Naam_25,Code_26,Naam_27,Code_28,Naam_29,Code_30,Naam_31,Code_32,Naam_33,Code_34,Naam_35,Code_36,Naam_37,Code_38,Naam_39,Code_40,Naam_41,Code_42,Naam_43,Code_44,Naam_45,Code_46,Omschrijving_47,Code_48,Omschrijving_49,Inwonertal_50,Omgevingsadressendichtheid_51
37,Beuningen,GM0209    ,Beuningen                                         ,Beuningen                                         ,AM08      ,Rijk van Nijmegen                                 ,AR03      ,Gelderland                                        ,CR15      ,Arnhem/Nijmegen                                   ,CS150     ,Arnhem/Nijmegen                                   ,CP1500    ,Arnhem/Nijmegen                                   ,GG2014    ,GGD Gelderland-Zuid                               ,JZ32      ,Nijmegen                                          ,KK43      ,Oost                                              ,LB2503    ,Zuidelijk Gelderland                              ,LG04      ,Oostelijk Veehouderijgebied                       ,LD02      ,Oost-Nederland                                    ,PV25      ,Gelderland                                        ,.         ,.                                                 ,ES08      ,Arnhem/Nijmegen                                   ,MC14      ,Arnhem/Nijmegen                                   ,RA0308    ,Zuid-West Gelderland                              ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR09      ,Gelders Rivierengebied                            ,VT06      ,Gelderland,VR08      ,Gelderland-Zuid                                   ,ZK16      ,Nijmegen                                          ,4         ,20 000 tot 50 000 inwoners                        ,4         ,Weinig stedelijk         ,25891,996
38,Beverwijk,GM0375    ,Beverwijk                                         ,Beverwijk                                         ,AM37      ,Zuid-Kennemerland en IJmond                       ,AR02      ,Noord-Holland                                     ,CR20      ,IJmond                                            ,CS200     ,IJmond                                            ,CP2000    ,IJmond                                            ,GG3109    ,GGD Kennemerland                                  ,JZ10      ,IJmond (Midden Kennemerland)                      ,KK41      ,Noordwest                                         ,LB2708    ,Kennemerland                                      ,LG07      ,Westelijk Holland                                 ,LD03      ,West-Nederland                                    ,PV27      ,Noord-Holland                                     ,.         ,.                                                 ,ES16      ,Noord-Holland Zuid                                ,MC25      ,West-Kennemerland                                 ,RA0717    ,"Amstelland, Kennemerland en Meerlanden            ",RT11      ,Gerechtshof Amsterdam                             ,TR02      ,Noordzeebadplaatsen                               ,VT12      ,Kennemerla,VR12      ,Kennemerland                                      ,ZK11      ,Kennemerland                                      ,4         ,20 000 tot 50 000 inwoners                        ,1         ,Zeer sterk stedelijk     ,41613,2730
39,De Bilt,GM0310    ,De Bilt                                           ,Bilt De                                           ,AM13      ,Midden-Utrecht                                    ,AR04      ,Midden-Nederland                                  ,CR17      ,Utrecht                                           ,CS170     ,Utrecht                                           ,CP1703    ,Stadsgewest Utrecht                               ,GG2514    ,GGD Regio Utrecht                                 ,JZ23      ,Zuidoost Utrecht                                  ,KK41      ,Noordwest                                         ,LB2602    ,Westelijk Weidegebied in Utrecht                  ,LG09      ,Hollands/Utrechts Weidegebied                     ,LD03      ,West-Nederland                                    ,PV26      ,Utrecht                                           ,.         ,.                                                 ,ES14      ,U10/U16                                           ,MC19      ,Utrecht                                           ,RA0512    ,Utrecht en omgeving                               ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR07      ,Utrechtse Heuvelrug en 't Gooi                    ,VT20      ,Utrecht   ,VR09      ,Utrecht                                           ,ZK23      ,Utrecht                                           ,4         ,20 000 tot 50 000 inwoners                        ,3         ,Matig stedelijk          ,43124,1258
40,Bladel,GM1728    ,Bladel                                            ,Bladel                                            ,AM28      ,Zuidoost-Brabant                                  ,AR10      ,Oost-Brabant                                      ,CR36      ,Zuidoost-Noord-Brabant                            ,CS360     ,Zuidoost-Noord-Brabant                            ,CP3600    ,Zuidoost-Noord-Brabant                            ,GG5608    ,GGD Brabant-Zuidoost                              ,JZ39      ,Zuidoost-Brabant                                  ,KK44      ,Zuid                                              ,LB3007    ,De Kempen                                         ,LG13      ,Zuidelijk Veehouderijgebied                       ,LD04      ,Zuid-Nederland                                    ,PV30      ,Noord-Brabant                                     ,.         ,.                                                 ,ES26      ,Metropoolregio Eindhoven                          ,MC37      ,Zuidoost-Brabant                                  ,RA1326    ,Zuidoost-Brabant                                  ,RT14      ,Gerechtshof 's-Hertogenbosch                      ,TR13      ,West- en Midden-Brabant                           ,VT26      ,Zuidoost-B,VR22      ,Brabant-Zuidoost                                  ,ZK30      ,Zuidoost-Brabant                                  ,4         ,20 000 tot 50 000 inwoners                        ,4         ,Weinig stedelijk         ,20395,688
41,Blaricum,GM0376    ,Blaricum                                          ,Blaricum                                          ,AM12      ,Gooi en Vechtstreek                               ,AR04      ,Midden-Nederland                                  ,CR24      ,Het Gooi en Vechtstreek                           ,CS240     ,Het Gooi en Vechtstreek                           ,CP2400    ,Het Gooi en Vechtstreek                           ,GG3606    ,GGD Gooi en Vechtstreek                           ,JZ16      ,Gooi en Vechtstreek                               ,KK41      ,Noordwest                                         ,LB2707    ,'t Gein en Gooiland                               ,LG09      ,Hollands/Utrechts Weidegebied                     ,LD03      ,West-Nederland                                    ,PV27      ,Noord-Holland                                     ,.         ,.                                                 ,ES16      ,Noord-Holland Zuid                                ,MC20      ,Gooi en Vechtstreek                               ,RA0511    ,Gooi- en Vechtstreek                              ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR07      ,Utrechtse Heuvelrug en 't Gooi                    ,VT07      ,Gooi en Ve,VR14      ,Gooi en Vechtstreek                               ,ZK21      ,'t Gooi                                           ,3         ,10 000 tot 20 000 inwoners                        ,3         ,Matig stedelijk          ,11536,1077
42,Bloemendaal,GM0377    ,Bloemendaal                                       ,Bloemendaal                                       ,AM37      ,Zuid-Kennemerland en IJmond                       ,AR02      ,Noord-Holland                                     ,CR21      ,Agglomeratie Haarlem                              ,CS210     ,Agglomeratie Haarlem                              ,CP2100    ,Agglomeratie Haarlem                              ,GG3109    ,GGD Kennemerland                                  ,JZ11      ,Zuid Kennemerland                                 ,KK41      ,Noordwest                                         ,LB2708    ,Kennemerland                                      ,LG07      ,Westelijk Holland                                 ,LD03      ,West-Nederland                                    ,PV27      ,Noord-Holland                                     ,.         ,.                                                 ,ES16      ,Noord-Holland Zuid                                ,MC25      ,West-Kennemerland                                 ,RA0717    ,"Amstelland, Kennemerland en Meerlanden            ",RT11      ,Gerechtshof Amsterdam                             ,TR02      ,Noordzeebadplaatsen                               ,VT12      ,Kennemerla,VR12      ,Kennemerland                                      ,ZK11      ,Kennemerland                                      ,4         ,20 000 tot 50 000 inwoners                        ,3         ,Matig stedelijk          ,23570,1086
43,Bodegraven-Reeuwijk,GM1901    ,Bodegraven-Reeuwijk                               ,Bodegraven+Reeuwijk                               ,AM20      ,Midden-Holland                                    ,AR07      ,Den Haag                                          ,CR28      ,Oost-Zuid-Holland                                 ,CS280     ,Oost-Zuid-Holland                                 ,CP2800    ,Oost-Zuid-Holland                                 ,GG4506    ,GGD Hollands-Midden                               ,JZ27      ,Midden Holland                                    ,KK45      ,Zuidwest                                          ,LB2806    ,Krimpenerwaard en Oostelijk Rijnland              ,LG09      ,Hollands/Utrechts Weidegebied                     ,LD03      ,West-Nederland                                    ,PV28      ,Zuid-Holland                                      ,.         ,.                                                 ,ES22      ,Midden-Holland                                    ,MC27      ,Zuid-Holland-Oost                                 ,RA0818    ,Rijnstreek                                        ,RT13      ,Gerechtshof Den Haag                              ,TR06      ,Hollands-Utrechtse meren                          ,VT10      ,Hollands-M,VR16      ,Hollands-Midden                                   ,ZK13      ,Midden-Holland                                    ,4         ,20 000 tot 50 000 inwoners                        ,3         ,Matig stedelijk          ,34869,1130
44,Boekel,GM0755    ,Boekel                                            ,Boekel                                            ,AM27      ,Noordoost-Brabant                                 ,AR10      ,Oost-Brabant                                      ,CR35      ,Noordoost-Noord-Brabant                           ,CS352     ,Overig Noordoost-Noord-Brabant                    ,CP3520    ,Overig Noordoost-Noord-Brabant                    ,GG5406    ,GGD Hart voor Brabant                             ,JZ33      ,Noordoost Brabant                                 ,KK44      ,Zuid                                              ,LB3010    ,Westelijk Peelgebied                              ,LG13      ,Zuidelijk Veehouderijgebied                       ,LD04      ,Zuid-Nederland                                    ,PV30      ,Noord-Brabant                                     ,.         ,.                                                 ,ES27      ,Noordoost-Brabant                                 ,MC36      ,Noord-Oost-Brabant                                ,RA1325    ,Noordoost-Brabant                                 ,RT14      ,Gerechtshof 's-Hertogenbosch                      ,TR14      ,"O.-Brabant, N.- en M.-Limburg, Nijmegen           ",VT16      ,Noord-Brab,VR21      ,Brabant-Noord                                     ,ZK19      ,Noordoost-Brabant                                 ,3         ,10 000 tot 20 000 inwoners                        ,4         ,Weinig stedelijk         ,10784,537
45,Borger-Odoorn,GM1681    ,Borger-Odoorn                                     ,Borger+Odoorn                                     ,AM03      ,Drenthe                                           ,AR05      ,Noord-Nederland                                   ,CR08      ,Zuidoost-Drenthe                                  ,CS080     ,Zuidoost-Drenthe                                  ,CP0800    ,Zuidoost-Drenthe                                  ,GG0706    ,GGD Drenthe                                       ,JZ04      ,Drenthe                                           ,KK42      ,Noord                                             ,LB2205    ,Drentse Veenkoloniën en Hondsrug                  ,LG02      ,Veenkoloniën en Oldambt                           ,LD01      ,Noord-Nederland                                   ,PV22      ,Drenthe                                           ,.         ,.                                                 ,ES03      ,Drenthe                                           ,MC08      ,Zuid-Oost Drenthe                                 ,RA0102    ,Drenthe                                           ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR12      ,"Groningse, Friese en Drentse Zandgronden          ",VT02      ,Drenthe   ,VR03      ,Drenthe                                           ,ZK06      ,Drenthe                                           ,4         ,20 000 tot 50 000 inwoners                        ,5         ,Niet stedelijk           ,25558,259
46,Borne,GM0147    ,Borne                                             ,Borne                                             ,AM05      ,Twente                                            ,AR06      ,Overijssel                                        ,CR12      ,Twente                                            ,CS120     ,Twente                                            ,CP1200    ,Twente                                            ,GG1106    ,GGD Regio Twente                                  ,JZ14      ,Twente                                            ,KK43      ,Oost                                              ,LB2303    ,Twente                                            ,LG04      ,Oostelijk Veehouderijgebied                       ,LD02      ,Oost-Nederland                                    ,PV23      ,Overijssel                                        ,.         ,.                                                 ,ES04      ,Twente                                            ,MC12      ,Twente                                            ,RA0205    ,Twente                                            ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR11      ,"Twente, Salland en Vechtstreek                    ",VT19      ,Twente    ,VR05      ,Twente                                            ,ZK22      ,Twente                                            ,4         ,20 000 tot 50 000 inwoners                        ,3         ,Matig stedelijk          ,23313,1228
47,Borsele,GM0654    ,Borsele                                           ,Borsele                                           ,AM24      ,Zeeland                                           ,AR11      ,Zeeland-West-Brabant                              ,CR32      ,Overig Zeeland                                    ,CS320     ,Overig Zeeland                                    ,CP3200    ,Overig Zeeland                                    ,GG5006    ,GGD Zeeland                                       ,JZ38      ,Zeeland                                           ,KK45      ,Zuidwest                                          ,LB2902    ,Walcheren en Zuid-Beveland                        ,LG11      ,Zuidwestelijk Akkerbouwgebied                     ,LD03      ,West-Nederland                                    ,PV29      ,Zeeland                                           ,.         ,.                                                 ,ES24      ,Zeeland                                           ,MC31      ,Oosterschelde regio                               ,RA1222    ,Zeeland                                           ,RT14      ,Gerechtshof 's-Hertogenbosch                      ,TR04      ,Deltagebied                                       ,VT23      ,Zeeland   ,VR19      ,Zeeland                                           ,ZK27      ,Zeeland                                           ,4         ,20 000 tot 50 000 inwoners                        ,5         ,Niet stedelijk           ,22738,320
48,Boxmeer,GM0756    ,Boxmeer                                           ,Boxmeer                                           ,AM27      ,Noordoost-Brabant                                 ,AR10      ,Oost-Brabant                                      ,CR35      ,Noordoost-Noord-Brabant                           ,CS352     ,Overig Noordoost-Noord-Brabant                    ,CP3520    ,Overig Noordoost-Noord-Brabant                    ,GG5406    ,GGD Hart voor Brabant                             ,JZ33      ,Noordoost Brabant                                 ,KK44      ,Zuid                                              ,LB3009    ,Maaskant en Land van Cuijk                        ,LG13      ,Zuidelijk Veehouderijgebied                       ,LD04      ,Zuid-Nederland                                    ,PV30      ,Noord-Brabant                                     ,.         ,.                                                 ,ES27      ,Noordoost-Brabant                                 ,MC36      ,Noord-Oost-Brabant                                ,RA1325    ,Noordoost-Brabant                                 ,RT14      ,Gerechtshof 's-Hertogenbosch                      ,TR14      ,"O.-Brabant, N.- en M.-Limburg, Nijmegen           ",VT16      ,Noord-Brab,VR21      ,Brabant-Noord                                     ,ZK19      ,Noordoost-Brabant                                 ,4         ,20 000 tot 50 000 inwoners                        ,4         ,Weinig stedelijk         ,29371,666
49,Boxtel,GM0757    ,Boxtel                                            ,Boxtel                                            ,AM27      ,Noordoost-Brabant                                 ,AR10      ,Oost-Brabant                                      ,CR35      ,Noordoost-Noord-Brabant                           ,CS351     ,Stadsgewest 's-Hertogenbosch                      ,CP3510    ,Stadsgewest 's-Hertogenbosch                      ,GG5406    ,GGD Hart voor Brabant                             ,JZ33      ,Noordoost Brabant                                 ,KK44      ,Zuid                                              ,LB3008    ,Midden-Noord-Brabant                              ,LG13      ,Zuidelijk Veehouderijgebied                       ,LD04      ,Zuid-Nederland                                    ,PV30      ,Noord-Brabant                                     ,.         ,.                                                 ,ES27      ,Noordoost-Brabant                                 ,MC36      ,Noord-Oost-Brabant                                ,RA1325    ,Noordoost-Brabant                                 ,RT14      ,Gerechtshof 's-Hertogenbosch                      ,TR13      ,West- en Midden-Brabant                           ,VT16      ,Noord-Brab,VR21      ,Brabant-Noord                                     ,ZK19      ,Noordoost-Brabant                                 ,4         ,20 000 tot 50 000 inwoners                        ,3         ,Matig stedelijk          ,30803,1218
50,Breda,GM0758    ,Breda                                             ,Breda                                             ,AM25      ,West-Brabant                                      ,AR11      ,Zeeland-West-Brabant                              ,CR33      ,West-Noord-Brabant                                ,CS330     ,West-Noord-Brabant                                ,CP3300    ,West-Noord-Brabant                                ,GG5206    ,GGD West-Brabant                                  ,JZ34      ,West Brabant Oost                                 ,KK44      ,Zuid                                              ,LB3006    ,Land van Breda                                    ,LG12      ,Zuidwest-Brabant                                  ,LD04      ,Zuid-Nederland                                    ,PV30      ,Noord-Brabant                                     ,.         ,.                                                 ,ES28      ,West-Brabant                                      ,MC34      ,West-Brabant                                      ,RA1323    ,West-Brabant                                      ,RT14      ,Gerechtshof 's-Hertogenbosch                      ,TR13      ,West- en Midden-Brabant                           ,VT21      ,West-braba,VR20      ,Midden- en West-Brabant                           ,ZK25      ,West-Brabant                                      ,7         ,150 000 tot 250 000 inwoners                      ,2         ,Sterk stedelijk          ,184271,2186
51,Brielle,GM0501    ,Brielle                                           ,Brielle                                           ,AM22      ,Rijnmond                                          ,AR08      ,Rotterdam                                         ,CR29      ,Groot-Rijnmond                                    ,CS291     ,Rijnmond                                          ,CP2910    ,Rijnmond                                          ,GG4607    ,GGD Rotterdam-Rijnmond                            ,JZ29      ,Rijnmond                                          ,KK45      ,Zuidwest                                          ,LB2801    ,Voorne-Putten en Hoeksche Waard                   ,LG11      ,Zuidwestelijk Akkerbouwgebied                     ,LD03      ,West-Nederland                                    ,PV28      ,Zuid-Holland                                      ,.         ,.                                                 ,ES23      ,Rotterdam/Den Haag                                ,MC29      ,Rijnmond                                          ,RA0919    ,Rijnmond                                          ,RT13      ,Gerechtshof Den Haag                              ,TR04      ,Deltagebied                                       ,VT18      ,Rotterdam-,VR17      ,Rotterdam-Rijnmond                                ,ZK29      ,Zuid-Hollandse Eilanden                           ,3         ,10 000 tot 20 000 inwoners                        ,4         ,Weinig stedelijk         ,17282,882
52,Bronckhorst,GM1876    ,Bronckhorst                                       ,Bronckhorst                                       ,AM09      ,Achterhoek                                        ,AR03      ,Gelderland                                        ,CR14      ,Achterhoek                                        ,CS140     ,Achterhoek                                        ,CP1400    ,Achterhoek                                        ,GG1413    ,GGD Noord- en Oost-Gelderland                     ,JZ25      ,Achterhoek                                        ,KK43      ,Oost                                              ,LB2508    ,Achterhoek                                        ,LG04      ,Oostelijk Veehouderijgebied                       ,LD02      ,Oost-Nederland                                    ,PV25      ,Gelderland                                        ,.         ,.                                                 ,ES07      ,Achterhoek                                        ,MC13      ,Achterhoek                                        ,RA0207    ,Achterhoek                                        ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR10      ,Achterhoek                                        ,VT14      ,Noord- en ,VR06      ,Noord- en Oost-Gelderland                         ,ZK04      ,Arnhem                                            ,4         ,20 000 tot 50 000 inwoners                        ,5         ,Niet stedelijk           ,36052,380
53,Brummen,GM0213    ,Brummen                                           ,Brummen                                           ,AM06      ,Stedendriehoek en Noordwest Veluwe                ,AR03      ,Gelderland                                        ,CR14      ,Achterhoek                                        ,CS140     ,Achterhoek                                        ,CP1400    ,Achterhoek                                        ,GG1413    ,GGD Noord- en Oost-Gelderland                     ,JZ17      ,Midden IJssel / Oost Veluwe                       ,KK43      ,Oost                                              ,LB2502    ,IJsselstreek                                      ,LG04      ,Oostelijk Veehouderijgebied                       ,LD02      ,Oost-Nederland                                    ,PV25      ,Gelderland                                        ,.         ,.                                                 ,ES12      ,Stedendriehoek/Cleantech                          ,MC11      ,Stedendriehoek                                    ,RA0206    ,Stedendriehoek & Noord-Veluwe                     ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR08      ,Veluwe en Veluwerand                              ,VT14      ,Noord- en ,VR06      ,Noord- en Oost-Gelderland                         ,ZK03      ,Apeldoorn/Zutphen                                 ,4         ,20 000 tot 50 000 inwoners                        ,4         ,Weinig stedelijk         ,20756,763
54,Brunssum,GM0899    ,Brunssum                                          ,Brunssum                                          ,AM30      ,Zuid-Limburg                                      ,AR09      ,Limburg                                           ,CR39      ,Zuid-Limburg                                      ,CS390     ,Zuid-Limburg                                      ,CP3900    ,Zuid-Limburg                                      ,GG6106    ,GGD Zuid-Limburg                                  ,JZ41      ,Zuid-Limburg                                      ,KK44      ,Zuid                                              ,LB3102    ,Zuid-Limburg                                      ,LG14      ,Zuid-Limburg                                      ,LD04      ,Zuid-Nederland                                    ,PV31      ,Limburg                                           ,.         ,.                                                 ,ES30      ,Zuid-Limburg                                      ,MC39      ,Gewest Zuid-Limburg                               ,RA1428    ,Zuid-Limburg                                      ,RT14      ,Gerechtshof 's-Hertogenbosch                      ,TR15      ,Zuid-Limburg                                      ,VT25      ,Zuid-Limbu,VR24      ,Limburg-Zuid                                      ,ZK31      ,Zuid-Limburg                                      ,4         ,20 000 tot 50 000 inwoners                        ,2         ,Sterk stedelijk          ,27817,1664
55,Bunnik,GM0312    ,Bunnik                                            ,Bunnik                                            ,AM13      ,Midden-Utrecht                                    ,AR04      ,Midden-Nederland                                  ,CR17      ,Utrecht                                           ,CS170     ,Utrecht                                           ,CP1703    ,Stadsgewest Utrecht                               ,GG2514    ,GGD Regio Utrecht                                 ,JZ23      ,Zuidoost Utrecht                                  ,KK41      ,Noordwest                                         ,LB2601    ,Kromme Rijn-streek en Heuvelrug                   ,LG10      ,Rivierengebied                                    ,LD03      ,West-Nederland                                    ,PV26      ,Utrecht                                           ,.         ,.                                                 ,ES14      ,U10/U16                                           ,MC19      ,Utrecht                                           ,RA0512    ,Utrecht en omgeving                               ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR17      ,Overig Nederland                                  ,VT20      ,Utrecht   ,VR09      ,Utrecht                                           ,ZK23      ,Utrecht                                           ,3         ,10 000 tot 20 000 inwoners                        ,4         ,Weinig stedelijk         ,15191,659
56,Bunschoten,GM0313    ,Bunschoten                                        ,Bunschoten                                        ,AM14      ,Amersfoort                                        ,AR04      ,Midden-Nederland                                  ,CR17      ,Utrecht                                           ,CS170     ,Utrecht                                           ,CP1702    ,Stadsgewest Amersfoort                            ,GG2514    ,GGD Regio Utrecht                                 ,JZ20      ,Eemland                                           ,KK41      ,Noordwest                                         ,LB2604    ,Eemland                                           ,LG09      ,Hollands/Utrechts Weidegebied                     ,LD03      ,West-Nederland                                    ,PV26      ,Utrecht                                           ,.         ,.                                                 ,ES13      ,Amersfoort                                        ,MC16      ,Eem en Vallei                                     ,RA0513    ,Amersfoort en omgeving                            ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR03      ,IJsselmeerkust                                    ,VT20      ,Utrecht   ,VR09      ,Utrecht                                           ,ZK23      ,Utrecht                                           ,4         ,20 000 tot 50 000 inwoners                        ,3         ,Matig stedelijk          ,21867,1181
57,Buren,GM0214    ,Buren                                             ,Buren                                             ,AM10      ,Rivierenland                                      ,AR03      ,Gelderland                                        ,CR16      ,Zuidwest-Gelderland                               ,CS160     ,Zuidwest-Gelderland                               ,CP1600    ,Zuidwest-Gelderland                               ,GG2014    ,GGD Gelderland-Zuid                               ,JZ30      ,Rivierenland                                      ,KK43      ,Oost                                              ,LB2505    ,Veluwezoom en Betuwe                              ,LG10      ,Rivierengebied                                    ,LD02      ,Oost-Nederland                                    ,PV25      ,Gelderland                                        ,.         ,.                                                 ,ES11      ,Rivierenland (Fruitdelta)                         ,MC15      ,Rivierenland                                      ,RA0308    ,Zuid-West Gelderland                              ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR09      ,Gelders Rivierengebied                            ,VT06      ,Gelderland,VR08      ,Gelderland-Zuid                                   ,ZK16      ,Nijmegen                                          ,4         ,20 000 tot 50 000 inwoners                        ,5         ,Niet stedelijk           ,26742,288
58,Capelle aan den IJssel,GM0502    ,Capelle aan den IJssel                            ,Capelle aan den IJssel                            ,AM22      ,Rijnmond                                          ,AR08      ,Rotterdam                                         ,CR29      ,Groot-Rijnmond                                    ,CS291     ,Rijnmond                                          ,CP2910    ,Rijnmond                                          ,GG4607    ,GGD Rotterdam-Rijnmond                            ,JZ29      ,Rijnmond                                          ,KK45      ,Zuidwest                                          ,LB2809    ,Westland en Zuidhollandse Droogmakerijen          ,LG07      ,Westelijk Holland                                 ,LD03      ,West-Nederland                                    ,PV28      ,Zuid-Holland                                      ,.         ,.                                                 ,ES23      ,Rotterdam/Den Haag                                ,MC29      ,Rijnmond                                          ,RA0919    ,Rijnmond                                          ,RT13      ,Gerechtshof Den Haag                              ,TR17      ,Overig Nederland                                  ,VT18      ,Rotterdam-,VR17      ,Rotterdam-Rijnmond                                ,ZK20      ,Rotterdam                                         ,5         ,50 000 tot 100 000 inwoners                       ,2         ,Sterk stedelijk          ,67151,2301
59,Castricum,GM0383    ,Castricum                                         ,Castricum                                         ,AM15      ,Noord-Holland Noord                               ,AR02      ,Noord-Holland                                     ,CR20      ,IJmond                                            ,CS200     ,IJmond                                            ,CP2000    ,IJmond                                            ,GG2707    ,GGD Hollands-Noorden                              ,JZ06      ,Alkmaar (Noord-Kennemerland)                      ,KK41      ,Noordwest                                         ,LB2708    ,Kennemerland                                      ,LG07      ,Westelijk Holland                                 ,LD03      ,West-Nederland                                    ,PV27      ,Noord-Holland                                     ,.         ,.                                                 ,ES15      ,Noord-Holland Noord                               ,MC24      ,Noord-Kennemerland                                ,RA0717    ,"Amstelland, Kennemerland en Meerlanden            ",RT11      ,Gerechtshof Amsterdam                             ,TR02      ,Noordzeebadplaatsen                               ,VT17      ,Noord-Holl,VR10      ,Noord-Holland-Noord                               ,ZK11      ,Kennemerland                                      ,4         ,20 000 tot 50 000 inwoners                        ,3         ,Matig stedelijk          ,35988,1345
60,Coevorden,GM0109    ,Coevorden                                         ,Coevorden                                         ,AM03      ,Drenthe                                           ,AR05      ,Noord-Nederland                                   ,CR08      ,Zuidoost-Drenthe                                  ,CS080     ,Zuidoost-Drenthe                                  ,CP0800    ,Zuidoost-Drenthe                                  ,GG0706    ,GGD Drenthe                                       ,JZ04      ,Drenthe                                           ,KK42      ,Noord                                             ,LB2204    ,Zuidelijk Zandgebied in Drenthe                   ,LG04      ,Oostelijk Veehouderijgebied                       ,LD01      ,Noord-Nederland                                   ,PV22      ,Drenthe                                           ,.         ,.                                                 ,ES03      ,Drenthe                                           ,MC08      ,Zuid-Oost Drenthe                                 ,RA0102    ,Drenthe                                           ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR12      ,"Groningse, Friese en Drentse Zandgronden          ",VT02      ,Drenthe   ,VR03      ,Drenthe                                           ,ZK06      ,Drenthe                                           ,4         ,20 000 tot 50 000 inwoners                        ,5         ,Niet stedelijk           ,35296,497
61,Cranendonck,GM1706    ,Cranendonck                                       ,Cranendonck                                       ,AM33      ,Midden-Limburg                                    ,AR10      ,Oost-Brabant                                      ,CR36      ,Zuidoost-Noord-Brabant                            ,CS360     ,Zuidoost-Noord-Brabant                            ,CP3600    ,Zuidoost-Noord-Brabant                            ,GG5608    ,GGD Brabant-Zuidoost                              ,JZ39      ,Zuidoost-Brabant                                  ,KK44      ,Zuid                                              ,LB3010    ,Westelijk Peelgebied                              ,LG13      ,Zuidelijk Veehouderijgebied                       ,LD04      ,Zuid-Nederland                                    ,PV30      ,Noord-Brabant                                     ,.         ,.                                                 ,ES26      ,Metropoolregio Eindhoven                          ,MC37      ,Zuidoost-Brabant                                  ,RA1326    ,Zuidoost-Brabant                                  ,RT14      ,Gerechtshof 's-Hertogenbosch                      ,TR14      ,"O.-Brabant, N.- en M.-Limburg, Nijmegen           ",VT26      ,Zuidoost-B,VR22      ,Brabant-Zuidoost                                  ,ZK30      ,Zuidoost-Brabant                                  ,4         ,20 000 tot 50 000 inwoners                        ,4         ,Weinig stedelijk         ,21166,590
62,Cuijk,GM1684    ,Cuijk                                             ,Cuijk                                             ,AM27      ,Noordoost-Brabant                                 ,AR10      ,Oost-Brabant                                      ,CR35      ,Noordoost-Noord-Brabant                           ,CS352     ,Overig Noordoost-Noord-Brabant                    ,CP3520    ,Overig Noordoost-Noord-Brabant                    ,GG5406    ,GGD Hart voor Brabant                             ,JZ33      ,Noordoost Brabant                                 ,KK44      ,Zuid                                              ,LB3009    ,Maaskant en Land van Cuijk                        ,LG13      ,Zuidelijk Veehouderijgebied                       ,LD04      ,Zuid-Nederland                                    ,PV30      ,Noord-Brabant                                     ,.         ,.                                                 ,ES27      ,Noordoost-Brabant                                 ,MC36      ,Noord-Oost-Brabant                                ,RA1325    ,Noordoost-Brabant                                 ,RT14      ,Gerechtshof 's-Hertogenbosch                      ,TR14      ,"O.-Brabant, N.- en M.-Limburg, Nijmegen           ",VT16      ,Noord-Brab,VR21      ,Brabant-Noord                                     ,ZK19      ,Noordoost-Brabant                                 ,4         ,20 000 tot 50 000 inwoners                        ,4         ,Weinig stedelijk         ,25139,868
63,Culemborg,GM0216    ,Culemborg                                         ,Culemborg                                         ,AM10      ,Rivierenland                                      ,AR03      ,Gelderland                                        ,CR16      ,Zuidwest-Gelderland                               ,CS160     ,Zuidwest-Gelderland                               ,CP1600    ,Zuidwest-Gelderland                               ,GG2014    ,GGD Gelderland-Zuid                               ,JZ30      ,Rivierenland                                      ,KK43      ,Oost                                              ,LB2505    ,Veluwezoom en Betuwe                              ,LG10      ,Rivierengebied                                    ,LD02      ,Oost-Nederland                                    ,PV25      ,Gelderland                                        ,.         ,.                                                 ,ES11      ,Rivierenland (Fruitdelta)                         ,MC15      ,Rivierenland                                      ,RA0308    ,Zuid-West Gelderland                              ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR09      ,Gelders Rivierengebied                            ,VT06      ,Gelderland,VR08      ,Gelderland-Zuid                                   ,ZK16      ,Nijmegen                                          ,4         ,20 000 tot 50 000 inwoners                        ,3         ,Matig stedelijk          ,28956,1463
